فہرست , لایا , امید , آبادی , ختم , ابھی , امریکہ , خاص
مسئلہ , کوئی , کس کی , کندھا , چاہنا , دلچسپی , آپ ہیں , اسی
آٹھ , بیٹا , بھرا ہوا , جمعہ , پونچھنا , گلی , محفوظ , آیا
جوڑا , پیلا , مغربی , ڈالر , چہرہ , گردن , بولیں , یہاں
شخص , ٹھنڈا , بھیجا گیا , بلاک کریں , گہرا , استاد , لکیر , شمال
رکھیں , پہیے , سبزہ زار , بدھ , صفر , تھے , ڈویژن , ہزاروں
ڈبہ , جزیرہ , پھڑپھڑانا , پنکھ , عناصر , بارش , بستر , حالت
رک , میں , متوجہ , کسان , حصہ , مئی , آخری , یا
وادی , نوٹس , اچھا , طے کرنا , بدصورت , ابھارنا , واین , چھڑی
بتایا , بھیجیں , فرض کریں , سینا , نوٹ , جنوبی , پھیلاؤ , کھینچنا
ٹھیک , سرخ , ہاں , گھاس پھوس , پسند ہے , بڑھو , سینٹ , لیٹ
جھیل , بالکل ٹھیک , تیار , بات کریں , خدا , موسم سرما , خدمت کرو , اعداد
سو , سوچا , لائن , دور , مردہ , کل , رنگ , لیڈ
لے لو , تیار ہوا , پودا , فعل , پڑھیں , بہت خوبصورت , نالی , چابی
برعکس , ہوا , فصلیں , تاریخ , جھٹکا دینا , ونڈو , چھوٹا , سمندر
فیلڈ , تنا , ٹانگ , کسر , نئی , ٹھوکر مارنا , تیار ہے , گاؤں
درد , مارا گیا , پیروی , مدت , دھکے دار , الرجي , دوران , صرف
آہستہ آہستہ , میری , راز , باہر , بھاری , سورج , اڑا , آپ کا
میلوڈی , شکر قندی , سوراخ , چلنا , صاف , احتیاط سے , فرسودہ , ایک ساتھ
جلدی , بچہ , فاصلے , عوامل , لکڑی , صبح , وہاں , توانائی
ٹرین , صفحہ , کیونکہ , کچھ , بولی , لوبیا , سردی , خلیات
فیصلہ کیا , ساتھ , خوف , لیکن , پير , کاغذ , مہم , نغمہ
برا , سمجھیں , نہیں کیا , دیہاتی , مٹیریل , جانور , بھی , اسلحہ
البتہ , مزید , کافی , اسکول , ترتیب , کسی , رک جاؤ , اس کا
بخار , بچے , دیکھا , چھوڑ دو , ٹپکنا , ایک بار , تال , کان
بنیاد , رہیں , پانی , جاؤ , اچانک , عمدہ , سپاٹ , ہوائی اڈہ
مدد , مارچ , نیلا , اہل , آرا , احتجاج کرنا , کراس , اگر
بنا ہوا , تباہ کرنا , سپیڈ , دلچسپ , آرٹ , دم , ٹکٹکی باندھنا , تجربہ
لکھیں , گانا , مریخ , برداشت کرنا , بگھی والا , ندی لہر , قوم , گوشت
